unixtime,load1,load2,load3,price
1432644300,0.305,0,0.008,38.18
1432645200,0.707,0,0.149,38.18
1432646100,0.558,0,0.044,33.53
1432647000,0.482,0,0.077,33.53
1432647900,0.11,0,0.099,33.53
1432648800,0.108,0.02,0.013,33.53
1432649700,0.082,0,0.012,30.66
1432650600,0.108,0,0.044,30.66
1432651500,0.104,0,0.053,30.66
1432652400,0.098,0,0.055,30.66
1432653300,0.108,0,0.057,28.9
1432654200,0.099,0,0.053,28.9
1432655100,0.108,0,0.09,28.9
1432656000,0.298,0,0.309,28.9
1432656900,0.507,0,0.262,28.47
1432657800,0.218,0,0.11,28.47
1432658700,0.13,0,0.2,28.47
1432659600,0.187,0,0.172,28.47
1432660500,0.167,0,0.103,28.42
1432661400,0.143,0,0.237,28.42
1432662300,0.123,0,0.06,28.42
1432663200,0.097,0.03,0.256,28.42
1432664100,0.123,0,0.074,32.63
1432665000,0.109,0,0.258,32.63
1432665900,0.128,0,0.094,32.63
1432666800,0.345,0,0.217,32.63
1432667700,0.435,0,0.129,35.32
1432668600,0.343,0,0.143,35.32
1432669500,0.534,0.01,0.18,35.32
1432670400,0.143,0,0.069,35.32
1432671300,0.137,0.025,0.25,34.41
1432672200,0.121,0.12,0.07,34.41
1432673100,0.12,0.11,0.235,34.41
1432674000,0.182,0.14,0.073,34.41
1432674900,0.062,0.14,0.197,34.47
1432675800,0.115,0.155,0.13,34.47
1432676700,0.083,0.175,0.095,34.47
1432677600,0.073,0.19,0.188,34.47
1432678500,0.08,0.18,0.066,33.16
1432679400,0.079,0.19,0.231,33.16
1432680300,0.081,0.18,0.051,33.16
1432681200,0.077,0.19,0.177,33.16
1432682100,0.07,0.15,0.123,27.23
1432683000,0.1,0.17,0.104,27.23
1432683900,0.072,0.17,0.226,27.23
1432684800,0.08,0.18,0.051,27.23
1432685700,0.078,0.17,0.501,25.25
1432686600,0.063,0.175,0.506,25.25
1432687500,0.08,0.155,0.052,25.25
1432688400,0.067,0.175,0.05,25.25
1432689300,0.082,0.175,0.207,23.7
1432690200,0.088,0.17,0.147,23.7
1432691100,0.072,0.13,0.064,23.7
1432692000,0.088,0.08,0.236,23.7
1432692900,0.07,0.13,0.096,22.61
1432693800,0.072,0.08,0.163,22.61
1432694700,0.08,0.08,0.125,22.61
1432695600,0.068,0.08,0.142,22.61
1432696500,0.092,0.055,0.169,20.79
1432697400,0.098,0.04,0.04,20.79
1432698300,0.083,0.045,0.363,20.79
1432699200,0.125,0.04,0.098,20.79
1432700100,0.08,0.05,0.152,20.66
1432701000,0.112,0.05,0.224,20.66
1432701900,0.087,0.07,0.073,20.66
1432702800,0.123,0.055,0.23,20.66
1432703700,0.117,0.065,0.041,23.63
1432704600,0.17,0.055,0.222,23.63
1432705500,0.165,0.06,0.035,23.63
1432706400,0.078,0.035,0.056,23.63
1432707300,0.1,0.045,0.176,27.97
1432708200,0.09,0.04,0.05,27.97
1432709100,0.08,0.05,0.208,27.97
1432710000,0.528,0.255,0,27.97
1432710900,0.267,0.43,0.18,33.09
1432711800,0.782,0.035,0,33.09
1432712700,0.658,0.09,0.076,33.09
1432713600,0.932,0,0.104,33.09
1432714500,0.42,0.065,0,34.94
1432715400,0.361,0.025,0.17,34.94
1432716300,0.185,0,0,34.94
1432717200,0.424,0,0.121,34.94
1432718100,0.448,0,0.044,34
1432719000,0.328,0,0.449,34
1432719900,0.584,0,0.652,34
1432720800,0.403,0,0.156,34
1432721700,0.215,0,0.172,34.87
1432722600,0.11,0,0.056,34.87
1432723500,0.125,0,0.206,34.87
1432724400,0.13,0,0.054,34.87
1432725300,0.1,0,0,34.75
1432726200,0.08,0,0.108,34.75
1432727100,0.14,0,0.032,34.75
1432728000,0.11,0,0.016,34.75
1432728900,0.12,0,0.094,35.9
1432729800,0.1,0.08,0,35.9
1432730700,0.095,0.02,0.103,35.9
1432731600,0.105,0,0.017,35.9
1432732500,0.1,0,0.012,35
1432733400,0.11,0,0.159,35
1432734300,0.1,0,0.009,35
1432735200,0.09,0,0.186,35
1432736100,0.095,0,0.289,33.82
1432737000,0.09,0,0.505,33.82
1432737900,0.1,0,0.568,33.82
1432738800,0.095,0,0.497,33.82
1432739700,0.1,0,0.661,32.13
1432740600,0.1,0,0.339,32.13
1432741500,0.09,0,0.14,32.13
1432742400,0.125,0,0.187,32.13
1432743300,0.2,0,0.105,31.97
1432744200,0.155,0,0.25,31.97
1432745100,0.13,0,0.099,31.97
1432746000,0.09,0,0.269,31.97
1432746900,0.3,0,0.095,36.84
1432747800,0.085,0,0.205,36.84
1432748700,0.12,0,0.178,36.84
1432749600,0.155,0,0.108,36.84
1432750500,0.125,0,0.252,38.02
1432751400,0.125,0,0.11,38.02
1432752300,0.095,0,0.183,38.02
1432753200,0.105,0,0.157,38.02
1432754100,0.195,0,0.145,39.98
1432755000,0.18,0,0.184,39.98
1432755900,0.125,0,0.103,39.98
1432756800,0.12,0.03,0.29,39.98
1432757700,0.12,0.195,0.099,38.17
1432758600,0.105,0.1,0.198,38.17
1432759500,0.15,0.12,0.125,38.17
1432760400,0.11,0.13,0.058,38.17
1432761300,0.07,0.14,0.238,37.96
1432762200,0.095,0.15,0.055,37.96
1432763100,0.09,0.18,0.245,37.96
1432764000,0.08,0.215,0.056,37.96
1432764900,0.13,0.205,0.161,38.19
1432765800,0.08,0.175,0.712,38.19
1432766700,0.09,0.185,0.279,38.19
1432767600,0.08,0.175,0.051,38.19
1432768500,0.075,0.185,0.053,32.89
1432769400,0.085,0.175,0.288,32.89
1432770300,0.075,0.185,0.049,32.89
1432771200,0.095,0.17,0.068,32.89
1432772100,0.09,0.18,0.221,27.04
1432773000,0.075,0.18,0.065,27.04
1432773900,0.085,0.14,0.288,27.04
1432774800,0.07,0.16,0.11,27.04
1432775700,0.085,0.14,0.139,27.66
1432776600,0.085,0.15,0.197,27.66
1432777500,0.09,0.095,0.11,27.66
1432778400,0.09,0.06,0.222,27.66
1432779300,0.075,0.05,0.05,25.09
1432780200,0.085,0.06,0.196,25.09
1432781100,0.08,0.05,0.137,25.09
1432782000,0.085,0.06,0.105,25.09
1432782900,0.11,0.045,0.253,23.77
1432783800,0.09,0.07,0.062,23.77
1432784700,0.095,0.065,0.277,23.77
1432785600,0.125,0.075,0.039,23.77
1432786500,0.085,0.065,0.131,23.95
1432787400,0.125,0.075,0.229,23.95
1432788300,0.085,0.065,0.04,23.95
1432789200,0.125,0.055,0.191,23.95
1432790100,0.09,0.05,0.167,25.08
1432791000,0.105,0.059,0.233,25.08
1432791900,0.13,0.046,0.018,25.08
1432792800,0.095,0.055,0.015,25.08
1432793700,0.105,0.05,0.427,28.91
1432794600,0.095,0.055,0.468,28.91
1432795500,0.12,0.05,0,28.91
1432796400,0.105,0.07,0,28.91
1432797300,0.105,0.075,0.01,38
1432798200,0.5,0.065,0.11,38
1432799100,0.155,0.1,0,38
1432800000,0.545,0.58,0.087,38
1432800900,0.19,0.42,0.043,37.88
1432801800,0.105,0.055,0.035,37.88
1432802700,0.11,0.045,0.542,37.88
1432803600,0.09,0.03,0.118,37.88
1432804500,0.1,0.04,0.147,32.91
1432805400,0.31,0.04,0.126,32.91
1432806300,0.525,0.03,0.089,32.91
1432807200,0.29,0,0.133,32.91
1432808100,0.195,0,0,31.05
1432809000,0.1,0,0.086,31.05
